Hero,Advantage,Win Rate,Matches
Troll Warlord,5.13%,55.80%,"18,133"
Naga Siren,5.12%,59.36%,"5,455"
Phantom Lancer,4.35%,56.05%,"21,842"
Terrorblade,3.82%,63.41%,"4,950"
Broodmother,3.49%,61.36%,"3,939"
Visage,3.11%,54.70%,"4,267"
Anti-Mage,2.93%,53.83%,"41,124"
Lycan,2.79%,57.95%,"3,137"
Phantom Assassin,2.63%,59.88%,"47,619"
Meepo,2.41%,49.22%,"10,838"
Hero,Advantage,Win Rate,Matches
Troll Warlord,5.13%,55.80%,"18,133"
Naga Siren,5.12%,59.36%,"5,455"
Phantom Lancer,4.35%,56.05%,"21,842"
Terrorblade,3.82%,63.41%,"4,950"
Broodmother,3.49%,61.36%,"3,939"
Visage,3.11%,54.70%,"4,267"
Anti-Mage,2.93%,53.83%,"41,124"
Lycan,2.79%,57.95%,"3,137"
Phantom Assassin,2.63%,59.88%,"47,619"
Meepo,2.41%,49.22%,"10,838"
