Item,Matches,Wins,Win Rate
Blade Mail,"603,180","320,737",53.17%
Blink Dagger,"517,872","256,046",49.44%
Aghanim's Shard,"353,845","206,501",58.36%
Vanguard,"353,794","168,368",47.59%
Black King Bar,"285,737","159,463",55.81%
Phase Boots,"283,769","148,833",52.45%
Heart of Tarrasque,"182,044","122,901",67.51%
Boots of Speed,"147,131","55,528",37.74%
Crimson Guard,"140,537","83,822",59.64%
Boots of Travel,"130,917","89,034",68.01%
Aghanim's Scepter,"124,113","84,671",68.22%
Quelling Blade,"109,665","48,165",43.92%
Item,Matches,Wins,Win Rate
Blade Mail,"603,180","320,737",53.17%
Blink Dagger,"517,872","256,046",49.44%
Aghanim's Shard,"353,845","206,501",58.36%
Vanguard,"353,794","168,368",47.59%
Black King Bar,"285,737","159,463",55.81%
Phase Boots,"283,769","148,833",52.45%
Heart of Tarrasque,"182,044","122,901",67.51%
Boots of Speed,"147,131","55,528",37.74%
Crimson Guard,"140,537","83,822",59.64%
Boots of Travel,"130,917","89,034",68.01%
Aghanim's Scepter,"124,113","84,671",68.22%
Quelling Blade,"109,665","48,165",43.92%
