Item,Matches,Wins,Win Rate
Boots of Travel,"302,958","154,066",50.85%
Black King Bar,"193,301","94,518",48.90%
Bottle,"192,765","86,659",44.96%
Gleipnir,"191,033","102,092",53.44%
Aghanim's Shard,"185,415","99,822",53.84%
Aghanim's Scepter,"156,569","82,810",52.89%
Magic Wand,"147,999","63,768",43.09%
Arcane Boots,"135,086","59,781",44.25%
Falcon Blade,"124,939","55,525",44.44%
Null Talisman,"115,687","46,991",40.62%
Ethereal Blade,"112,085","60,177",53.69%
Eul's Scepter of Divinity,"92,611","40,130",43.33%
